Product_Category,Product_Sub_Category,Profits
FURNITURE,TABLES,-99062.50
FURNITURE,BOOKCASES,-33582.13
FURNITURE,"OFFICE FURNISHINGS",100427.93
FURNITURE,"CHAIRS & CHAIRMATS",149649.73
"OFFICE SUPPLIES","SCISSORS, RULERS AND TRIMMERS",-7799.25
"OFFICE SUPPLIES","RUBBER BANDS",-102.67
"OFFICE SUPPLIES","STORAGE & ORGANIZATION",6664.15
"OFFICE SUPPLIES","PENS & ART SUPPLIES",7564.78
"OFFICE SUPPLIES",LABELS,13677.17
"OFFICE SUPPLIES",PAPER,45263.20
"OFFICE SUPPLIES",ENVELOPES,48182.60
"OFFICE SUPPLIES",APPLIANCES,97158.06
"OFFICE SUPPLIES","BINDERS AND BINDER ACCESSORIES",307413.39
TECHNOLOGY,"COMPUTER PERIPHERALS",94287.48
TECHNOLOGY,"COPIERS AND FAX",167361.49
TECHNOLOGY,"OFFICE MACHINES",307712.93
TECHNOLOGY,"TELEPHONES AND COMMUNICATION",316951.62
